Out-of-bounds Read in r_bin_java_bootstrap_methods_attr_new function in radareorg/radare2,CVE-2022-1452,CWE-125: Out-of-bounds Read," offset += 6;
 if (attr) {
  attr->type = R_BIN_JAVA_ATTR_TYPE_BOOTSTRAP_METHODS_ATTR;
  if (offset + 8 > sz)  {
   free (attr);
   return NULL;
  }
  attr->info.bootstrap_methods_attr.num_bootstrap_methods = R_BIN_JAVA_USHORT (buffer, offset);
  offset += 2;
  attr->info.bootstrap_methods_attr.bootstrap_methods = r_list_newf (r_bin_java_bootstrap_method_free);
"
chafa: NULL Pointer Dereference in function gif_internal_decode_frame at libnsgif.c:599 allows attackers to cause a denial of service (crash) via a crafted input file. in hpjansson/chafa,CVE-2022-1507,CWE-476: NULL Pointer Dereference,"        unsigned int x, y, decode_y, burst_bytes;
        register unsigned char colour;

        /* If the GIF has no frame data, frame holders will not be allocated in
         * gif_initialise() */
        if (gif->frames == NULL) {
                return GIF_INSUFFICIENT_DATA;
        }

        /* Ensure this frame is supposed to be decoded */
        if (gif->frames[frame].display == false) {
                return GIF_OK;
"
Buffer Over-read in bfabiszewski/libmobi,CVE-2022-1533,CWE-126: Buffer Over-read,"2022-04-27: Fix wrong boundary checks in inflections parser resulting in stack buffer over-read with corrupt input
2022-04-26: Fix text formatting
2022-04-26: Fix array boundary check when parsing inflections which could result in buffer over-read with corrupt input
2022-04-23: Fix formatting
            }
            pos -= c - 10;
            dir = 0;




        }
        else {
            if (mod == 'i') {
                const unsigned char *s = decoded + pos;
                unsigned char *d = decoded + pos + 1;
                const int l = *decoded_size - pos;
                if (pos < 0 || l < 0 || d + l > decoded + INDX_INFLBUF_SIZEMAX) {
                    debug_print(""Out of buffer in %s at pos: %i\n"", decoded, pos);
                    return MOBI_DATA_CORRUPT;
                }
                const unsigned char *s = decoded + pos + 1;
                unsigned char *d = decoded + pos;
                const int l = *decoded_size - pos;
                if (pos < 0 || l < 0 || s + l > decoded + INDX_INFLBUF_SIZEMAX) {
                    debug_print(""Out of buffer in %s at pos: %i\n"", decoded, pos);
                    return MOBI_DATA_CORRUPT;
                }
"
Buffer Over-read at parse_rawml.c:1416 in bfabiszewski/libmobi,CVE-2022-1534,CWE-126: Buffer Over-read,"2022-04-26: Fix array boundary check when parsing inflections which could result in buffer over-read with corrupt input
2022-04-23: Fix formatting
2022-04-23: Fix checking boundary of deobfuscation key which could cause buffer over-read with corrupt data
2022-04-23: Fix issue with corrupt data with empty lookup string which could lead to read beyond buffer
2022-04-23: Fix faulty checks for array boundary which caused buffer over-read with corrupt input
2022-04-23: Fix issue with corrupt files with tagvalues_count = 0 that caused null pointer dereference
2022-04-23: Fix issues when mobi_buffer_getpointer returns null. With corrupt data this could lead to out-of-bounds read
2022-04-13: Add packaging status [skip ci]
2022-04-10: Make random generation return proper error codes

            unsigned char decoded[INDX_INFLBUF_SIZEMAX + 1];
            memset(decoded, 0, INDX_INFLBUF_SIZEMAX + 1);
            if (parts[j] >= infl->entries_count) {
                debug_print(""%s\n"", ""Invalid entry offset"");
                return MOBI_DATA_CORRUPT;
            }
            unsigned char *rule = (unsigned char *) infl->entries[parts[j]].label;
            memcpy(decoded, label, label_length);
            int decoded_length = (int) label_length;
"
Use after free in append_command in vim/vim,CVE-2022-1616,CWE-416: Use After Free,"
    STRCAT(IObuff, "": "");
    d = IObuff + STRLEN(IObuff);
    while (*s != NUL && d - IObuff + 5 < IOSIZE)
    {
 if (enc_utf8 ? (s[0] == 0xc2 && s[1] == 0xa0) : *s == 0xa0)
 {
     s += enc_utf8 ? 2 : 1;
     STRCPY(d, ""<a0>"");
     d += 4;
 }
 else if (d - IObuff + (*mb_ptr2len)(s) + 1 >= IOSIZE)
     break;
 else
     MB_COPY_CHAR(s, d);
    }
  set wildmenu&
endfunc

"" this was going over the end of IObuff
func Test_report_error_with_composing()
  let caught = 'no'
  try
    exe repeat('0', 987) .. ""0\xdd\x80\xdd\x80\xdd\x80\xdd\x80""
  catch /E492:/
    let caught = 'yes'
  endtry
  call assert_equal('yes', caught)
endfunc

"" Test for expanding 2-letter and 3-letter :substitute command arguments.
"" These commands don't accept an argument.
func Test_cmdline_complete_substitute_short()

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4895,
/**/
    4894,
/**/
"
Heap-based Buffer Overflow in function cmdline_erase_chars in vim/vim,CVE-2022-1619,CWE-122: Heap-based Buffer Overflow," {
     while (p > ccline.cmdbuff && vim_isspace(p[-1]))
  --p;
     if (p > ccline.cmdbuff)
     {
  i = vim_iswordc(p[-1]);
  while (p > ccline.cmdbuff && !vim_isspace(p[-1])
   && vim_iswordc(p[-1]) == i)
      --p;
     }
 }
 else
     --p;

    call feedkeys("":abc def\<S-Left>\<C-U>\<C-B>\""\<CR>"", 'tx')
    call assert_equal('""def', @:, e)

    "" This was going before the start in latin1.
    call feedkeys("": \<C-W>\<CR>"", 'tx')
  endfor

  let &encoding = encoding_save

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4899,
/**/
    4898,
/**/
"
NULL Pointer Dereference in function vim_regexec_string at regexp.c:2729 in vim/vim,CVE-2022-1620,CWE-476: NULL Pointer Dereference," rmp->rm_ic = p_fic || ignore_case;
 if (vim_regexec(rmp, name, (colnr_T)0))
     match = name;
 else if (rmp->regprog != NULL)
 {
     // Replace $(HOME) with '~' and try matching again.
     p = home_replace_save(NULL, name);
  set shellslash&
endfunc

"" this was using a NULL pointer after failing to use the pattern
func Test_buf_pattern_invalid()
  vsplit 0000000
  silent! buf [0--]\&\zs*\zs*e
  bwipe!
endfunc

"" Test for the 'maxmem' and 'maxmemtot' options
func Test_buffer_maxmem()
  "" use 1KB per buffer and 2KB for all the buffers

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4901,
/**/
    4900,
/**/
"
Heap buffer overflow in vim_strncpy find_word in vim/vim,CVE-2022-1621,CWE-122: Heap-based Buffer Overflow,"EXTERN char e_missing_close_curly_str[]
 INIT(= N_(""E1279: Missing '}': %s""));
#endif
#ifdef FEAT_SPELL
EXTERN char e_illegal_character_in_word[]
 INIT(= N_(""E1280: Illegal character in word""));
#endif
    convert_setup(&vimconv, NULL, NULL);
}

#if defined(FEAT_GUI_GTK) || defined(FEAT_SPELL) || defined(PROTO)
/*
 * Return TRUE if string ""s"" is a valid utf-8 string.
 * When ""end"" is NULL stop at the first NUL.
    int  res = OK;
    char_u *p;

    // Avoid adding illegal bytes to the word tree.
    if (enc_utf8 && !utf_valid_string(word, NULL))
 return FAIL;

    (void)spell_casefold(curwin, word, len, foldword, MAXWLEN);
    for (p = pfxlist; res == OK; ++p)
    {
    int  i;
    char_u *spf;

    if (enc_utf8 && !utf_valid_string(word, NULL))
    {
 emsg(_(e_illegal_character_in_word));
 return;
    }

    if (idx == 0)     // use internal wordlist
    {
 if (int_wordlist == NULL)
  bwipe!
endfunc

"" Invalid bytes may cause trouble when creating the word list.
func Test_check_for_valid_word()
  call assert_fails(""spellgood! 0\xac"", 'E1280:')
endfunc


"" vim: shiftwidth=2 sts=2 expandtab
"
Buffer Over-read in function find_next_quote in vim/vim,CVE-2022-1629,CWE-126: Buffer Over-read,"    call assert_equal(""<div><div\nattr=\""attr\""\n></div></div>"", @"", e)

    set quoteescape&

    "" this was going beyond the end of the line
    %del
    sil! norm i""\
    sil! norm i""\
    sil! norm i""\
    call assert_equal('""\', getline(1))

    bwipe!
  endfor

  set enc=utf-8

endfunc

func Test_empty_html_tag()
 if (c == NUL)
     return -1;
 else if (escape != NULL && vim_strchr(escape, c))
 {
     ++col;
     if (line[col] == NUL)
  return -1;
 }
 else if (c == quotechar)
     break;
 if (has_mbyte)

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4925,
/**/
    4924,
/**/
"
Null pointer dereference in libr/bin/format/mach0/mach0.c in radareorg/radare2 in radareorg/radare2,CVE-2022-1649,CWE-476: NULL Pointer Dereference,"    if (page_idx >= bin->chained_starts[i]->page_count) {
     break;
    }
    if (!bin->chained_starts[i]->page_start) {
     break;
    }
    ut16 page_start = bin->chained_starts[i]->page_start[page_idx];
    if (page_start == DYLD_CHAINED_PTR_START_NONE) {
     continue;
"
NULL Pointer Dereference in function vim_regexec_string at regexp.c:2733 in vim/vim,CVE-2022-1674,CWE-476: NULL Pointer Dereference,"
    // First try the short file name, then the long file name.
    match = fname_match(rmp, buf->b_sfname, ignore_case);
    if (match == NULL && rmp->regprog != NULL)
 match = fname_match(rmp, buf->b_ffname, ignore_case);

    return match;
  vsplit 0000000
  silent! buf [0--]\&\zs*\zs*e
  bwipe!

  vsplit 00000000000000000000000000
  silent! buf [0--]\&\zs*\zs*e
  bwipe!
endfunc

"" Test for the 'maxmem' and 'maxmemtot' options

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4938,
/**/
    4937,
/**/
"
Heap-based Buffer Overflow in radareorg/radare2,CVE-2022-1714,CWE-122: Heap-based Buffer Overflow,"#include ""../arch/msp430/msp430_disas.h""

static int msp430_op(RAnal *anal, RAnalOp *op, ut64 addr, const ut8 *buf, int len, RAnalOpMask mask) {
 struct msp430_cmd cmd = {0};




 op->size = -1;
 op->nopcode = 1;
 op->type = R_ANAL_OP_TYPE_UNK;
 op->family = R_ANAL_OP_FAMILY_CPU;

 int ret = op->size = msp430_decode_command (buf, len, &cmd);
 if (mask & R_ANAL_OP_MASK_DISASM) {
  if (ret < 1) {
   op->mnemonic = strdup (""invalid"");
  case MSP430_CALL:
   op->type = R_ANAL_OP_TYPE_CALL;
   op->fail = addr + op->size;
   if (len > 4) {
    op->jump = r_read_at_le16 (buf, 2);
   }
   break;
  case MSP430_RETI:
   op->type = R_ANAL_OP_TYPE_RET;
 const char *p = \
  ""=PC pc\n""
  ""=SP sp\n""
  ""=SN r0\n""
  // this is the ""new"" ABI, the old was reverse order
  ""=A0 r12\n""
  ""=A1 r13\n""
 ut8 ehdr[sizeof (Elf_(Ehdr))] = {0};
 int i, len;
 if (r_buf_read_at (bin->b, 0, e_ident, EI_NIDENT) == -1) {
  R_LOG_DEBUG (""read (magic)"");
  return false;
 }
 sdb_set (bin->kv, ""elf_type.cparse"", ""enum elf_type { ET_NONE=0, ET_REL=1,""
 memset (&bin->ehdr, 0, sizeof (Elf_(Ehdr)));
 len = r_buf_read_at (bin->b, 0, ehdr, sizeof (ehdr));
 if (len < 32) { // tinyelf != sizeof (Elf_(Ehdr))) {
  R_LOG_DEBUG (""read (ehdr)"");
  return false;
 }
 // XXX no need to check twice
  const size_t rsize = bin->ehdr.e_phoff + i * sizeof (Elf_(Phdr));
  int len = r_buf_read_at (bin->b, rsize, phdr, sizeof (Elf_(Phdr)));
  if (len < 1) {
   R_LOG_DEBUG (""read (phdr)"");
   R_FREE (bin->phdr);
   return false;
  }
  j = 0;
  len = r_buf_read_at (bin->b, bin->ehdr.e_shoff + i * sizeof (Elf_(Shdr)), shdr, sizeof (Elf_(Shdr)));
  if (len < 1) {
   R_LOG_DEBUG (""read (shdr) at 0x%"" PFMT64x, (ut64) bin->ehdr.e_shoff);
   R_FREE (bin->shdr);
   return false;
  }
 int res = r_buf_read_at (bin->b, bin->shstrtab_section->sh_offset, (ut8*)bin->shstrtab,
  bin->shstrtab_section->sh_size);
 if (res < 1) {
  R_LOG_DEBUG (""read (shstrtab) at 0x%"" PFMT64x, (ut64) bin->shstrtab_section->sh_offset);
  R_FREE (bin->shstrtab);
  return false;
 }
 }
 Elf_(Verdef) *defs = calloc (shdr->sh_size, 1);
 if (!defs) {
  R_LOG_DEBUG (""Cannot allocate memory (Check Elf_(Verdef))"");
  return false;
 }
 if (bin->shstrtab && shdr->sh_name < bin->shstrtab_size) {
  return UT64_MAX;
 }
 if (r_buf_read_at (bin->b, entry + 16, buf, sizeof (buf)) < 1) {
  R_LOG_DEBUG (""read (init_offset)"");
  return 0;
 }
 if (buf[0] == 0x68) { // push // x86 only
"
Buffer Over-read in function grab_file_name in vim/vim,CVE-2022-1720,CWE-126: Buffer Over-read," }
 if (**pp == NUL)
     *lenp = 0;
 if (*lenp > 0)
 {
     if (has_mbyte)
  // Correct the length to include all bytes of the last
  // character.
  *lenp += (*mb_ptr2len)(*pp + (*lenp - 1)) - 1;
     else if ((*pp)[*lenp - 1] == NUL)
  // Do not include a trailing NUL.
  *lenp -= 1;
 }
    }
    reset_VIsual_and_resel();
    return OK;
  call assert_equal('Xtest_gf_visual', bufname('%'))
  call assert_equal(3, getcurpos()[1])

  "" do not include the NUL at the end 
  call writefile(['x'], 'X')
  let save_enc = &enc
  for enc in ['latin1', 'utf-8']
    exe ""set enc="" .. enc
    new
    call setline(1, 'X')
    set nomodified
    exe ""normal \<C-V>$gf""
    call assert_equal('X', bufname())
    bwipe!
  endfor
  let &enc = save_enc
  call delete('X')

  "" line number in visual area is used for file name
  if has('unix')
    bwipe!

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4956,
/**/
    4955,
/**/
"
NULL Pointer Dereference in function vim_regexec_string in vim/vim,CVE-2022-1725,CWE-476: NULL Pointer Dereference,"  if (*p == '^' && !(attempt & 1))  // add/remove '^'
      ++p;
  regmatch.regprog = vim_regcomp(p, magic_isset() ? RE_MAGIC : 0);






  FOR_ALL_BUFS_FROM_LAST(buf)
  {
      if (regmatch.regprog == NULL)
      {
   // invalid pattern, possibly after switching engine
   vim_free(pat);
   return -1;
      }
      if (buf->b_p_bl == find_listed
#ifdef FEAT_DIFF
       && (!diffmode || diff_mode_buf(buf))
   }
   match = buf->b_fnum; // remember first match
      }
  }

  vim_regfree(regmatch.regprog);
  if (match >= 0)   // found one match
     if (attempt > 0 && patc == pat)
  break; // there was no anchor, no need to try again
     regmatch.regprog = vim_regcomp(patc + attempt * 11, RE_MAGIC);






 }

 // round == 1: Count the matches.
#endif

  if (!fuzzy)
  {
      if (regmatch.regprog == NULL)
      {
   // invalid pattern, possibly after recompiling
   if (patc != pat)
       vim_free(patc);
   return FAIL;
      }
      p = buflist_match(&regmatch, buf, p_wic);
  }
  else
  {
      p = NULL;

/*
 * Check for a match on the file name for buffer ""buf"" with regprog ""prog"".
 * Note that rmp->regprog may become NULL when switching regexp engine.
 */
    static char_u *
buflist_match(
}

/*
 * Try matching the regexp in ""rmp->regprog"" with file name ""name"".
 * Note that rmp->regprog may become NULL when switching regexp engine.
 * Return ""name"" when there is a match, NULL when not.
 */
    static char_u *
    char_u *match = NULL;
    char_u *p;

    // extra check for valid arguments
    if (name != NULL && rmp->regprog != NULL)
    {
 // Ignore case when 'fileignorecase' or the argument is set.
 rmp->rm_ic = p_fic || ignore_case;
  vsplit 00000000000000000000000000
  silent! buf [0--]\&\zs*\zs*e
  bwipe!

  "" similar case with different code path
  split 0
  edit ÿ
  silent! buf [0--]\&\zs*\zs*0
  bwipe!
endfunc

"" Test for the 'maxmem' and 'maxmemtot' options

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4959,
/**/
    4958,
/**/
"
Heap-based Buffer Overflow in function skip_string in vim/vim,CVE-2022-1733,CWE-122: Heap-based Buffer Overflow,"  while (vim_isdigit(p[i - 1]))   // '\000'
      ++i;
     }
     if (p[i - 1] != NUL && p[i] == '\'')    // check for trailing '
     {
  p += i;
  continue;
  close!
endfunc

"" This was reading past the end of the line
func Test_cindent_check_funcdecl()
  new
  sil norm o0('\0=L
  bwipe!
endfunc

func Test_cindent_scopedecls()
  new
  setl cindent ts=4 sw=4

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4968,
/**/
    4967,
/**/
"
Buffer Over-read in function utfc_ptr2len in vim/vim,CVE-2022-1735,CWE-120: Classic Buffer Overflow," curwin->w_changelistidx = curbuf->b_changelistlen;
    }

    if (VIsual_active)
 check_visual_pos();

    FOR_ALL_TAB_WINDOWS(tp, wp)
    {
 if (wp->w_buffer == curbuf)

     // <C-S-Right> may have started Visual mode, adjust the position for
     // deleted characters.
     if (VIsual_active)
  check_visual_pos();








 }
    }
    did_ai = FALSE;
    check_cursor_col();
}

/*
 * Check if VIsual position is valid, correct it if not.
 * Can be called when in Visual mode and a change has been made.
 */
    void
check_visual_pos(void)
{
    if (VIsual.lnum > curbuf->b_ml.ml_line_count)
    {
 VIsual.lnum = curbuf->b_ml.ml_line_count;
 VIsual.col = 0;
 VIsual.coladd = 0;
    }
    else
    {
 int len = (int)STRLEN(ml_get(VIsual.lnum));

 if (VIsual.col > len)
 {
     VIsual.col = len;
     VIsual.coladd = 0;
 }
    }
}

#if defined(FEAT_TEXTOBJ) || defined(PROTO)
/*
 * Make sure curwin->w_cursor is not on the NUL at the end of the line.
    return OK;
}

#if defined(EXITFREE) || defined(PROTO)
/*
 * Free the memory allocated by get_user_name()
 */
void check_cursor_col(void);
void check_cursor_col_win(win_T *win);
void check_cursor(void);
void check_visual_pos(void);
void adjust_cursor_col(void);
int leftcol_changed(void);
int copy_option_part(char_u **option, char_u *buf, int maxlen, char *sep_chars);
  set isprint&
endfunc

func Test_visual_block_with_substitute()
  "" this was reading beyond the end of the line
  new
  norm a0)
  sil! norm  O
  s/)
  sil! norm 
  bwipe!
endfunc

func Test_visual_reselect_with_count()
  "" this was causing an illegal memory access
  let lines =<< trim END

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4969,
/**/
    4968,
/**/
"
Buffer Over-read in function get_one_sourceline in vim/vim,CVE-2022-1769,CWE-126: Buffer Over-read,"  break;
     buf = (char_u *)ga.ga_data;
     buf[ga.ga_len++] = NUL;
     len = ga.ga_len;
 }
 else
 {
     buf = (char_u *)ga.ga_data;
     if (fgets((char *)buf + ga.ga_len, ga.ga_maxlen - ga.ga_len,
   sp->fp) == NULL)
  break;
     len = ga.ga_len + (int)STRLEN(buf + ga.ga_len);
 }

#ifdef USE_CRNL
 // Ignore a trailing CTRL-Z, when in Dos mode. Only recognize the
 // CTRL-Z by its own, or after a NL.
  norm300gr0
  so
  bwipe!

  let lines =<< trim END
      new
      norm 10a0000000000ø00000000000
      norm i0000000000000000000
      silent! so
  END
  call writefile(lines, 'Xtest.vim')
  source Xtest.vim
  bwipe!
  call delete('Xtest.vim')
endfunc



static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4974,
/**/
    4973,
/**/
"
Infinite recursive function calls result in stack overflow in vim/vim,CVE-2022-1771,CWE-674: Uncontrolled Recursion,"    int  indent,  // indent for inside conditionals
    int  clear_ccline) // clear ccline first
{
    static int depth = 0;     // call depth
    int  c;
    int  i;
    int  j;
    int  cmdline_type;
    int  wild_type;

    // one recursion level deeper
    ++depth;

    if (ccline.cmdbuff != NULL)
    {
 // Being called recursively.  Since ccline is global, we need to save
    if (init_ccline(firstc, indent) != OK)
 goto theend; // out of memory

    if (depth == 50)
    {
 // Somehow got into a loop recursively calling getcmdline(), bail out.
 emsg(_(e_command_too_recursive));
 goto theend;
    }

    ExpandInit(&xpc);
    ccline.xpc = &xpc;

    {
 char_u *p = ccline.cmdbuff;

 --depth;
 if (did_save_ccline)
     restore_cmdline(&save_ccline);
 else
  call feedkeys("":let a\<C-R>=Check_completion()\<CR>\<Esc>"", ""xt"")
endfunc

func Test_recursive_register()
  let @= = ''
  silent! ?e/
  let caught = 'no'
  try
    normal // 
  catch /E169:/
    let caught = 'yes'
  endtry
  call assert_equal('yes', caught)
endfunc

"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4975,
/**/
    4974,
/**/
"
